Name,Count
DESI,23
ELEANOR,23
FLOYD,23
FRECKLES,23
HAILEY,23
ICE,23
INDIE,23
JERSEY,23
KAYA,23
KEIKO,23
KODY,23
LEON,23
LEONARDO,23
LOLITA,23
MACY,23
MARY,23
MOSES,23
NELLY,23
NEO,23
NUGGET,23
PICKLE,23
SABLE,23
SABRINA,23
SAMPSON,23
SPEEDY,23
TAFFY,23
TERRY,23
TRINITY,23
ARI,22
ARTHUR,22
BIBI,22
BIG,22
BIJOU,22
BROWNY,22
BRUISER,22
BULLY,22
BUZZ,22
CASHEW,22
CUTIE,22
DUNKIN,22
FLASH,22
GOOSE,22
JAMES,22
JULIET,22
KILO,22
LACY,22
LEAH,22
LOUISE,22
MARCUS,22
MILLY,22
NANA,22
OSO,22
PANCHO,22
PATRICK,22
PORKCHOP,22
PRESTON,22
REMI,22
ROMAN,22
ROO,22
ROY,22
SCARLET,22
SPIRIT,22
SUSHI,22
SUZY,22
TESSA,22
VINNY,22
ARCHER,21
AURORA,21
BARLEY,21
BRANDO,21
BRONX,21
CECE,21
CLANCY,21
CUPID,21
DARCY,21
DEWEY,21
DODGER,21
FENDI,21
JETT,21
JEWEL,21
JOHN,21
KITTY,21
LIAM,21
LOBO,21
MAISY,21
MEEKO,21
MONKEY,21
RANDY,21
RIVER,21
SCOTTY,21
SHERMAN,21
SKIPPER,21
SWEET,21
TREVOR,21
TWINKIE,21
VALENTINA,21
VITO,21
AGNES,20
AJAX,20
ALBERT,20
ALLY,20
AVERY,20
BACON,20
BENTLY,20
BOSS,20
BROOKE,20
CARA,20
CHRISSY,20
CHULO,20
CRICKET,20
ECHO,20
FANCY,20
FRANCES,20
GORDO,20
JAMIE,20
KATO,20
LEROY,20
LIBERTY,20
LUPE,20
MANGO,20
MARCO,20
MEMPHIS,20
MICHAEL,20
MICKY,20
MITZI,20
MOBY,20
MONTE,20
NASH,20
OAKLEY,20
SAMMI,20
SHEILA,20
STORMY,20
TAMMY,20
TROOPER,20
WESLEY,20
WYATT,20
YOYO,20
ALI,19
ARIES,19
ARLO,19
BATMAN,19
BRODIE,19
CARAMEL,19
CHUBBY,19
CORKY,19
DARWIN,19
DIZZY,19
ELSIE,19
FRANCIS,19
FRIDAY,19
JULIUS,19
KEVIN,19
KYLIE,19
LARRY,19
LEXY,19
MARSHMALLOW,19
MEI,19
MIKE,19
NATASHA,19
PEGGY,19
PIERRE,19
PIXEL,19
PRIMO,19
PUCCI,19
SKYLER,19
TITUS,19
TJ,19
VADER,19
,19
ABBIE,18
ADDIE,18
ALEXANDER,18
ANNA,18
BALTO,18
BANE,18
BARBIE,18
BEANIE,18
